web-scraper-order,web-scraper-start-url,url,url-href
"1638891898-561","https://fr.kompass.com/r/ile-de-france/fr_11/","","https://nusconsulting.com/"
"1638891898-614","https://fr.kompass.com/r/ile-de-france/fr_11/","","https://flashtransports.fr/"
"1638891898-565","https://fr.kompass.com/r/ile-de-france/fr_11/","","https://sifalogistics.com/"
"1638891898-620","https://fr.kompass.com/r/ile-de-france/fr_11/","","https://www.itelis.fr/"
"1638891898-633","https://fr.kompass.com/r/ile-de-france/fr_11/","","https://www.ifpenergiesnouvelles.fr/"
"1638891898-569","https://fr.kompass.com/r/ile-de-france/fr_11/","","https://www.prym-fashion.com/"
"1638891898-628","https://fr.kompass.com/r/ile-de-france/fr_11/","","https://europehydro.com/"
"1638891898-589","https://fr.kompass.com/r/ile-de-france/fr_11/","","https://www.comiteo.net/"
"1638891898-563","https://fr.kompass.com/r/ile-de-france/fr_11/","","https://www.ecofluide.com/fr/"
"1638891898-562","https://fr.kompass.com/r/ile-de-france/fr_11/","","https://ateq.com/"
"1638891898-593","https://fr.kompass.com/r/ile-de-france/fr_11/","","https://licornefinance.com/"
